T [K],P [bar],y H2S [mol/mol],dY H2S [mol/mol],Q H2S [mmol/g],dQ H2S [mmol/g],Q CH4 [mmol/g],dQ CH4 [mmol/g],dH H2S [kJ/mol],d dH H2S [kJ/mol],dH CH4 [kJ/mol],d dH CH4 [kJ/mol],fugacity CH4 [Pa],fugacity H2S [Pa],activity coefficient CH4,activity coefficient H2S
298,1.0,0.00472,2e-05,0.0406,0.0001,0.499,0.001,-28.5,0.2,-19.21,0.05,99354.64683398815,467.70268175311554,0.9982582472669816,0.9908955121888041
298,1.0,0.00944,4e-05,0.0816,0.0003,0.49200000000000005,0.001,-28.5,0.2,-19.22,0.02,98883.45755026388,935.4204755461337,0.9982581322712797,0.99091152070565
298,1.0,0.0141,0.0001,0.1231,0.0005,0.483,0.001,-28.6,0.1,-19.34,0.03,98418.25065254685,1397.2074243643547,0.9982579435292306,0.9909272513222372
298,1.0,0.019,0.0001,0.16399999999999998,0.001,0.47600000000000003,0.001,-28.6,0.1,-19.37,0.05,97929.07688426304,1882.7930534842294,0.9982576644675131,0.9909437123601208
298,1.0,0.0239,0.0001,0.204,0.001,0.47,0.001,-28.5,0.1,-19.39,0.03,97439.89532468858,2368.3946190505576,0.9982573027834093,0.9909600916529528
298,1.0,0.0288,0.0002,0.24600000000000002,0.001,0.462,0.001,-28.6,0.1,-19.4,0.1,96950.70609528711,2854.012000886412,0.998256858477009,0.9909763891966709
298,1.0,0.0337,0.0002,0.287,0.001,0.455,0.001,-28.7,0.1,-19.47,0.04,96461.50931752406,3339.6450788069737,0.9982563315484224,0.9909926049872324
298,1.0,0.0385,0.0001,0.33,0.001,0.4473,0.0004,-28.7,0.1,-19.53,0.04,95982.28894558216,3815.38238070176,0.9982557352634649,0.9910084105718858
298,1.0,0.1038,0.0002,0.816,0.001,0.358,0.001,-29.4,0.1,-19.88,0.04,89462.24616376412,10288.81831126354,0.9982397474198184,0.9912156369232696
298,1.0,0.1665,0.0003,1.212,0.002,0.281,0.001,-30.07,0.03,-20.43,0.05,83200.85252827851,16506.825636128993,0.9982105882216977,0.9914009391068465
298,1.0,0.2421,0.0003,1.571,0.002,0.21100000000000002,0.001,-30.82,0.05,-21.0,0.1,75650.35260477995,24006.794379045048,0.9981574429974925,0.9916065418853799
298,1.0,0.3341,0.0003,1.8730000000000002,0.002,0.149,0.001,-31.4,0.1,-21.4,0.1,66461.23141587035,33137.05514274732,0.9980662474225915,0.9918304442606202
298,1.0,0.4433,0.0002,2.112,0.001,0.1,0.0002,-32.0,0.1,-21.9,0.1,55554.21876296531,43977.96231550829,0.9979202220758993,0.9920587032598306
298,1.0,0.5673,0.0001,2.295,0.001,0.0623,0.0002,-32.5,0.1,-22.2,0.2,43170.682549052566,56291.392323458014,0.9977047041611409,0.9922685056135733
298,1.0,0.7038,0.0001,2.4290000000000003,0.001,0.0353,0.0002,-32.8,0.1,-22.4,0.2,29543.17708750116,69847.83447293856,0.9974063837778919,0.9924386824799454
298,1.0,0.8486600000000001,2e-05,2.5340000000000003,0.001,0.0151,0.0001,-33.0,0.1,-22.7,0.3,15088.898370840641,84233.71308811927,0.9970198474190993,0.9925495850884839
298,10.0,0.0016699999999999998,2e-05,0.0633,0.0001,1.834,0.002,-29.5,0.3,-20.19,0.03,981077.5470453583,1523.8757940066832,0.9827186872530709,0.9125004754531038
298,10.0,0.00339,2e-05,0.1265,0.0001,1.796,0.002,-29.8,0.1,-20.26,0.04,979387.1239880387,3093.5595638865707,0.9827185398380899,0.9125544436243572
298,10.0,0.00509,1e-05,0.1898,0.0001,1.758,0.002,-29.9,0.1,-20.35,0.03,977716.2595347259,4645.1731723511175,0.9827182956596335,0.9126076959432451
298,10.0,0.0069,0.0001,0.2525,0.0003,1.7169999999999999,0.002,-29.8,0.1,-20.4,0.1,975937.1743688908,6297.383652599459,0.9827179280725917,0.9126642974781825
298,10.0,0.0088,0.0001,0.315,0.0004,1.682,0.001,-30.0,0.1,-20.48,0.05,974069.5094911745,8031.967735781164,0.9827174228119193,0.9127236063387687
298,10.0,0.0106,0.0001,0.3784,0.0005,1.643,0.001,-30.3,0.2,-20.46,0.05,972300.0329249608,9675.464740041176,0.9827168313371345,0.9127796924567146
298,10.0,0.0128,0.0001,0.439,0.001,1.605,0.001,-29.9,0.1,-20.49,0.05,970137.1950898683,11684.45578726241,0.9827159593698018,0.9128481083798757
298,10.0,0.0147,0.0001,0.502,0.001,1.567,0.001,-30.2,0.1,-20.54,0.05,968269.162767907,13419.734023255814,0.9827150743610139,0.9129070764119602
298,10.0,0.043,0.0002,1.235,0.001,1.11,0.001,-31.3,0.1,-21.3,0.1,940431.8576733811,39292.21234277575,0.9826874165866052,0.9137723800645523
298,10.0,0.0807,0.0001,1.7890000000000001,0.001,0.758,0.001,-32.1,0.1,-21.9,0.1,903311.9315181902,73831.39189822483,0.9826084319788864,0.9148871362853139
298,10.0,0.1415,0.0003,2.251,0.001,0.465,0.001,-32.8,0.1,-22.3,0.1,843372.9343998154,129697.93604663569,0.982379655678294,0.9165931876087329
298,10.0,0.2364,0.0003,2.575,0.001,0.265,0.001,-33.2,0.1,-22.7,0.1,749681.564622155,217258.3049635014,0.9817726095104178,0.9190283627897691
298,10.0,0.3628,0.0002,2.773,0.001,0.15,0.001,-33.0,0.1,-22.4,0.1,624769.3838252344,334442.58751575556,0.9804918139127972,0.9218373415539017
298,10.0,0.5091,0.0001,2.8960000000000004,0.001,0.0844,0.0004,-33.1,0.1,-22.7,0.1,480266.3604646813,470644.29587924975,0.9783384812888191,0.9244633586314079
298,10.0,0.6667,0.0001,2.977,0.001,0.0443,0.0004,-32.8,0.1,-22.2,0.2,325040.40524152294,617721.150628149,0.9752187375983286,0.9265353991722649
298,10.0,0.83109,4e-05,3.035,0.001,0.018000000000000002,0.0001,-32.9,0.1,-22.5,0.4,164026.61381715562,771130.8167478166,0.971088827287642,0.9278547651250967
343,1.0,0.0079,1e-05,0.0169,0.0001,0.2019,0.0004,-27.8,0.2,-19.15,0.05,99110.89024172857,785.3482956137495,0.9990010103994412,0.9941117665996828
343,1.0,0.015819999999999997,2.9999999999999997e-05,0.0338,0.0002,0.1998,0.0003,-27.9,0.1,-19.14,0.03,98319.66096250119,1572.7121075165753,0.9990008023176776,0.9941290186577595
343,1.0,0.02383,2e-05,0.0504,0.0001,0.1978,0.0002,-28.0,0.1,-19.14,0.05,97519.42698024753,2369.0506958603496,0.9990004505388154,0.9941463264206251
343,1.0,0.03177,2.9999999999999997e-05,0.0677,0.0002,0.1955,0.0002,-28.0,0.1,-19.22,0.03,96726.17327822208,3158.4569427216143,0.9989999615610141,0.9941633436328657
343,1.0,0.039760000000000004,4e-05,0.0849,0.0003,0.1926,0.0004,-28.1,0.1,-19.2,0.1,95927.91152225775,3952.860984131869,0.9989993285247205,0.994180328000973
343,1.0,0.0479,0.0001,0.10099999999999999,0.0004,0.1902,0.0004,-28.1,0.1,-19.2,0.1,95114.65081966543,4762.20596173629,0.9989985381752489,0.9941974867925448
343,1.0,0.0561,0.0001,0.1176,0.0004,0.1872,0.0003,-27.9,0.05,-19.2,0.1,94295.38285917533,5577.544044360629,0.9989975935922802,0.9942146246632139
343,1.0,0.064,0.0001,0.136,0.001,0.1853,0.0004,-28.1,0.1,-19.34,0.05,93506.07639572746,6363.078371912866,0.998996542689396,0.9942309956113853
343,1.0,0.1643,0.0002,0.33899999999999997,0.001,0.1577,0.0001,-28.3,0.1,-19.43,0.04,83484.02152096899,16338.434006332393,0.9989711801001434,0.9944269023939374
343,1.0,0.2519,0.0001,0.509,0.001,0.1346,0.0003,-28.47,0.04,-19.57,0.04,74730.01306979323,25053.46727590841,0.9989307989545947,0.9945798839185553
343,1.0,0.344,0.0001,0.675,0.001,0.11199999999999999,0.0002,-28.75,0.05,-19.78,0.04,65525.87303426274,34218.45386724007,0.9988700157662003,0.9947224961406997
343,1.0,0.4403,0.0001,0.84,0.001,0.09,0.0002,-28.9,0.1,-19.9,0.1,55902.0733056576,43803.316888868176,0.9987863731580775,0.9948516213687979
343,1.0,0.542,0.0,0.995,0.001,0.0695,0.0001,-29.23,0.04,-20.11,0.03,45739.34939814717,53927.14589545035,0.9986757510512483,0.994965791428973
343,1.0,0.6487,0.0001,1.146,0.001,0.0498,0.0001,-29.46,0.03,-20.2,0.1,35078.53753985252,64549.610699230274,0.9985350851082416,0.9950610559462043
343,1.0,0.76069,4e-05,1.285,0.001,0.0316,5e-05,-29.74,0.02,-20.6,0.1,23891.761691274674,75698.85059828975,0.9983603564947002,0.995134030923106
343,1.0,0.8778100000000001,2e-05,1.4180000000000001,0.001,0.015019999999999999,5e-05,-29.96,0.02,-20.6,0.2,12196.369925855415,87357.9610867268,0.9981479602140457,0.995180746251772
343,10.0,0.0036799999999999997,2e-05,0.0502,0.0001,1.1909999999999998,0.001,-29.0,0.1,-19.84,0.04,986412.0261184953,3468.642623528989,0.9900554301012678,0.9425659303067906
343,10.0,0.00743,4e-05,0.1002,0.0003,1.169,0.001,-28.8,0.2,-19.85,0.02,982698.8643201104,7003.844009180555,0.9900549727677751,0.9426438774132645
343,10.0,0.01121,4e-05,0.1502,0.0003,1.146,0.001,-28.8,0.2,-19.91,0.05,978955.6917559687,10567.915381225455,0.9900541993304633,0.9427221571119943
