"P [atm]","Q [mmol/g]","T [K]","adsorbate"
0.5254701189156284, 0.07017543859649145, 303.,"N2"
0.5923867910171959, 0.0789473684210531, 303.,"N2"
0.6568240613926388, 0.08333333333333348, 303.,"N2"
0.7225015761212199, 0.09210526315789469, 303.,"N2"
0.788179090849801, 0.10087719298245634, 303.,"N2"
0.8526163612252438, 0.10526315789473673, 303.,"N2"
0.9195330333268112, 0.11403508771929838, 303.,"N2"
0.9988401921780905, 0.1184210526315792, 303.,"N2"
0.41270462401356545, 0.06140350877192979, 303.,"N2"
0.47590273701602204, 0.06578947368421062, 303.,"N2"
